name,city,type
Kevin Hunter Art Studio,Glasgow,bar
Gallowgate,Glasgow,bar
Chopan Kebab,Glasgow,bar
Baird's Bar,Glasgow,bar
Cafe Lavita,Glasgow,bar
Tim Land,Glasgow,bar
Barrowland Ballroom,Glasgow,bar
Bar 67,Glasgow,bar
Philips Garage,Glasgow,bar
Glasgow,bar Pram Centre,Glasgow,bar
Cabin Bar,Glasgow,bar
Glasgow,bar nails,Glasgow,bar
Tir na Nog,Glasgow,bar
The Hoops Bar,Glasgow,bar
Pout,Glasgow,bar
The Hielan Jessie,Glasgow,bar
Gallowgate bus stop no 60901476,Glasgow,bar
Ladywell Business Centre,Glasgow,bar
The squirrel,Glasgow,bar
Calton Fire Station,Glasgow,bar
chalmers street,Glasgow,bar
Gallowgate,Glasgow,bar
Gallowgate/Graham Square 60901473,Glasgow,bar
Millroad Drive,Glasgow,bar
Bus Stop 60901473,Glasgow,bar
Daniel's Flat,Glasgow,bar
Mums,Glasgow,bar
STV Glasgow,bar HQ,Glasgow,bar
South Rotunda,Glasgow,bar
The Stronghold,Glasgow,bar
Finnieston Quay,Glasgow,bar
everything smells like dead hookers,Glasgow,bar
the monghold,Glasgow,bar
RES,Glasgow,bar
McGill's 23 Bus,Glasgow,bar
Shintar's Flat,Glasgow,bar
Kieran's Place,Glasgow,bar
Xalior's Place,Glasgow,bar
mark's flat,Glasgow,bar
Ferry Glasgow,bar
Toolstation,Glasgow,bar
Club Rory,Glasgow,bar
The Ferry On The Clyde,Glasgow,bar
The Ferry,Glasgow,bar
Atkins,Glasgow,bar
Ace European group,Glasgow,bar
Faithful+Gould,Glasgow,bar
Broomielaw,Glasgow,bar
Renfrew Ferry,Glasgow,bar
BT,Glasgow,bar
Clyde Riverbus,Glasgow,bar
Clyde Walkway,Glasgow,bar
Mott MacDonald,Glasgow,bar
AXA Insurance,Glasgow,bar
Clydeport,Glasgow,bar
Octopussy,Glasgow,bar
Grosvenor Casino Glasgow,bar Riverboat,Glasgow,bar
Java Joes,Glasgow,bar
Broomiellaw,Glasgow,bar
Javajoes,Glasgow,bar
Joannas Crib,Glasgow,bar
The crystal fury,Glasgow,bar
Queens House,Glasgow,bar
Broomielaw Quay Ferry Terminal,Glasgow,bar
Number 57 Bus,Glasgow,bar
Under Central Bridge,Glasgow,bar
1625 Train To Stranraer,Glasgow,bar
Jurys Inn Glasgow,bar
Euro Hostel Glasgow,bar
Mint & Lime,Glasgow,bar
Room 1011,Glasgow,bar
The Grill Bar,Glasgow,bar
Restaurant Jurys Inn,Glasgow,bar
The Imperial,Glasgow,bar
,Glasgow,bar
Costa Coffee Jurys Inn,Glasgow,bar
Kenny's Music,Glasgow,bar
Bus Stop 609037,Glasgow,bar
Flat 8 308 Clyde St,Glasgow,bar
CLYDEUNION Pumps Glasgow,bar
The dutchess palace,Glasgow,bar
Rubadub,Glasgow,bar
Kendall Koppe,Glasgow,bar
Vivace Theatre School,Glasgow,bar
Blue Lagoon,Glasgow,bar
Mary Mary Gallery,Glasgow,bar
Blackrock Productions,Glasgow,bar
Tesco Metro,Glasgow,bar
Boots,Glasgow,bar
St Enoch Hotel,Glasgow,bar
McDonald's,Glasgow,bar
Wong's Chinese Kitchen,Glasgow,bar
Thorntons,Glasgow,bar
KFC,Glasgow,bar
Drewdle,Glasgow,bar
Rollover,Glasgow,bar
The Sugar House,Glasgow,bar
Bus Stop 60903541,Glasgow,bar
Eats 1,Glasgow,bar
St Enoch Barbers,Glasgow,bar
Modelfix,Glasgow,bar
St Enoch Shopping Centre,Glasgow,bar
Disney Store,Glasgow,bar
Game,Glasgow,bar
Aulds St Enoch,Glasgow,bar
Modelzone,Glasgow,bar
Di Maggios,Glasgow,bar
Benefit Brow Bar,Glasgow,bar
Mama's Rasoi,Glasgow,bar
Dorothy Perkins,Glasgow,bar
Buchanan's,Glasgow,bar
Trespass,Glasgow,bar
M&Co,Glasgow,bar
The Body Shop,Glasgow,bar
St Enoch Tesco Metro,Glasgow,bar
Optical Express,Glasgow,bar
Madhouse,Glasgow,bar
Little VIP's,Glasgow,bar
Kottage Kafe,Glasgow,bar
15 Eriskay Avenue,Glasgow,bar
O'Briens,Glasgow,bar
Clinton Cards,Glasgow,bar
Vision Express Opticians,Glasgow,bar
Bradford's Bakery ATM,Glasgow,bar
Bakery ATM,Glasgow,bar
Barratts,Glasgow,bar
Blue Inc,Glasgow,bar
danesi Caffe,Glasgow,bar
Calendar Club,Glasgow,bar
Menkind Glasgow,bar St Enoch,Glasgow,bar
Regis st enochs,Glasgow,bar
BHS,Glasgow,bar
Bus Stop 60903539,Glasgow,bar
blame,Glasgow,bar
bargain books,Glasgow,bar
Argos,Glasgow,bar
Stockwell street,Glasgow,bar
Millers Art Shop,Glasgow,bar
Bus Stop 609063,Glasgow,bar
Tivoli Restaurant,Glasgow,bar
John Barras,Glasgow,bar
Granite House,Glasgow,bar
Empire Bar,Glasgow,bar
Glasgow,bar Music Studios,Glasgow,bar
The Oriental Bar,Glasgow,bar
Panache Bridal Wear & Kilts,Glasgow,bar
Bonmarch,Glasgow,bar
Cultural Enterprise Office,Glasgow,bar
The Lobby,Glasgow,bar
Osbourne Street Bus Stop 60904006,Glasgow,bar
Bus stop 60904006,Glasgow,bar
Coronation Restaurant,Glasgow,bar
GHA,Glasgow,bar
Cafe Cossachok,Glasgow,bar
Trongate 103,Glasgow,bar
Avant Garde,Glasgow,bar
Mo Hair,Glasgow,bar
Static Games,Glasgow,bar
Val D'Oro,Glasgow,bar
Good Press Gallery,Glasgow,bar
The City Vintage Clothing,Glasgow,bar
Street Level Photoworks,Glasgow,bar
Screenmedia,Glasgow,bar
Glasgow,bar Print Studio,Glasgow,bar
Terry's Tattoo Studio,Glasgow,bar
Tatty Bon,Glasgow,bar
Graphical House,Glasgow,bar
Techmeetup Glasgow,bar
Good Creative,Glasgow,bar
Ricefield Chinese Arts And Cultural Centre,Glasgow,bar
Greens Barbers,Glasgow,bar
The Dragon And George,Glasgow,bar
Maggie Mays,Glasgow,bar
Trans Europe Cafe,Glasgow,bar
Tron Theatre,Glasgow,bar
Tron Theatre Bar,Glasgow,bar
nirvana body piercing,Glasgow,bar
Esca Restaurant,Glasgow,bar
GuitarGuitar,Glasgow,bar
Plan B Books,Glasgow,bar
A1 Comics,Glasgow,bar
E2 Cafe,Glasgow,bar
Parnie Street Dental Practice,Glasgow,bar
The Glasgow,bar Piercing Studio,Glasgow,bar
Terrys Tattoos,Glasgow,bar
Glasgrow,Glasgow,bar
Trongate,Glasgow,bar
Tolbooth,Glasgow,bar
Jack Morton Worldwide - Glasgow,bar Office,Glasgow,bar
Rose And Grants,Glasgow,bar
Envious Bridal,Glasgow,bar
Glasgay!,Glasgow,bar
Merchant City Cameras,Glasgow,bar
The Hemp House,Glasgow,bar
Creation Studios,Glasgow,bar
Mercat Building,Glasgow,bar
Glasgow,bar Cross,Glasgow,bar
Tolbooth Clock Tower,Glasgow,bar
Hepcat Tattoos,Glasgow,bar
GuitarGuitar Digital,Glasgow,bar
The Drum HQ,Glasgow,bar
Chicken Cottage,Glasgow,bar
chez dunne,Glasgow,bar
The Merchant Building,Glasgow,bar
Half Hobbit Flat,Glasgow,bar
Tot spot,Glasgow,bar
Bus stop 6090103,Glasgow,bar
Chrystal Bell Bar,Glasgow,bar
Reynolds Hair and Beauty,Glasgow,bar
Charles Anderson Messenger At arms,Glasgow,bar
Dave And Lynzs,Glasgow,bar
McKinnons,Glasgow,bar
Flat 2/2,Glasgow,bar
The Italian Job,Glasgow,bar
Glasgow,bar Life,Glasgow,bar
Tolbooth Steeple,Glasgow,bar
Casa Del Honni,Glasgow,bar
Carnyx,Glasgow,bar
The Food Stop,Glasgow,bar
Cafe Prima,Glasgow,bar
Untouchables,Glasgow,bar
Rock N Roll Tattoo,Glasgow,bar
sile sanda,Glasgow,bar
Lidl,Glasgow,bar
Bell Street,Glasgow,bar
Duncan's Flat,Glasgow,bar
G1 5AE,Glasgow,bar
My Flat!,Glasgow,bar
Bell St,Glasgow,bar
James Den Of Anarchy,Glasgow,bar
Ruraidh's,Glasgow,bar
Wise Group,Glasgow,bar
Casa Al-Tannak,Glasgow,bar
College Heights,Glasgow,bar
Briony's Flat : X,Glasgow,bar
Morrisons,Glasgow,bar
Moore Street,Glasgow,bar
The Flat,Glasgow,bar
Squinty Bridge,Glasgow,bar
Hilton Garden Inn,Glasgow,bar
City Cafe Bar & Grill - Hilton Garden Inn - Finnieston Quay - Glasgow,bar
Mint Hotel,Glasgow,bar
Aon Hewitt Centre,Glasgow,bar
2 Central Quay,Glasgow,bar
India Quay,Glasgow,bar
PhiCo Residence,Glasgow,bar
Dave's Place,Glasgow,bar
National Car & Van Hire,Glasgow,bar
Europcar,Glasgow,bar
River Heights cribs,Glasgow,bar
Hertz Glasgow,bar City,Glasgow,bar
Riverheights & Nisa,Glasgow,bar
Etap Hotel,Glasgow,bar
Casa GemNic,Glasgow,bar
My Flat,Glasgow,bar
Scottish Daily Record Canteen,Glasgow,bar
Rippleffect,Glasgow,bar
SHM,Glasgow,bar
Home,Glasgow,bar
SHM,Glasgow,bar
The Press Room,Glasgow,bar
Scottish Daily Record,Glasgow,bar
Cheapside St,Glasgow,bar
Party Dave Town,Glasgow,bar
Victor Paris,Glasgow,bar
IA Cubed,Glasgow,bar
220 Broomielaw,Glasgow,bar
Gap Plant & Tool Hire,Glasgow,bar
EQSN,Glasgow,bar
Scottish Government,Glasgow,bar
Atlantic Quay,Glasgow,bar
RSA Alexander Bain House,Glasgow,bar
Mad House,Glasgow,bar
GTW,Glasgow,bar
G28,Glasgow,bar
Sercon People,Glasgow,bar
Oval Financial Services,Glasgow,bar
Big Lottery Fund Scotland,Glasgow,bar
,Glasgow,bar
MacRoberts LLP,Glasgow,bar
Capella,Glasgow,bar
Lloyds TSB Scottish Asset Finance Ltd,Glasgow,bar
Scottish Qualifications Authority SQA,Glasgow,bar
Lloydtsb Atlantic Quay,Glasgow,bar
Fusion,Glasgow,bar
Education Scotland,Glasgow,bar
NCP Oswald St,Glasgow,bar
Capgemini PLC,Glasgow,bar
Grants,Glasgow,bar
Glassgow Central Apartment,Glasgow,bar
Ians Place,Glasgow,bar
Caledonian Sleeper Glasgow,bar Central,Glasgow,bar
Ivory Blacks,Glasgow,bar
Men International,Glasgow,bar
Sally Salon Services,Glasgow,bar
Hot-tel-Apartments,Glasgow,bar
Oswald street,Glasgow,bar
Turquoise,Glasgow,bar
Enterprise Rent-a-car,Glasgow,bar
Enterprise rent-a-car,Glasgow,bar
Manpower,Glasgow,bar
Hays Recruitment,Glasgow,bar
Spice of the City,Glasgow,bar
Oswald Street Book Shop,Glasgow,bar
CALEDONIAN SLEEPER | Train,Glasgow,bar
Bus stop 609034,Glasgow,bar
The Crystal Palace Wetherspoon,Glasgow,bar
The Classic Grand,Glasgow,bar
Lidl,Glasgow,bar
MacSorley's,Glasgow,bar
Sub Club,Glasgow,bar
Matalan,Glasgow,bar
Richer Sounds,Glasgow,bar
Currys PC World,Glasgow,bar
Q-Park Jamaica St,Glasgow,bar
Audio,Glasgow,bar
Craig Andrew Hairdressing,Glasgow,bar
Treasure Chest,Glasgow,bar
Tangerine 13,Glasgow,bar
No9 Bus stop For Paisley,Glasgow,bar
Academy of Music and Sound,Glasgow,bar
Bus stop 609036,Glasgow,bar
About Face,Glasgow,bar
St Enoch Square,Glasgow,bar
Times Square,Glasgow,bar
Deezer Bandwagon,Glasgow,bar
Hootenanny,Glasgow,bar
Teacher Building,Glasgow,bar
Vector Design,Glasgow,bar
Mellisa Amy Hopkins,Glasgow,bar
Hospice Shop,Glasgow,bar
Crepe a Croissant,Glasgow,bar
Vector Design & Print,Glasgow,bar
45,Glasgow,bar
Culture Sparks,Glasgow,bar
HuzuTech,Glasgow,bar
Nando's,Glasgow,bar
Caff Nero,Glasgow,bar
St Enoch Subway Station,Glasgow,bar
Costa Coffee,Glasgow,bar
Hamleys,Glasgow,bar
St Enoch Subway Outer Circle Platform,Glasgow,bar
Kimble's Cafe & Deli,Glasgow,bar
St Enoch Shopping Centre Food Court,Glasgow,bar
Burger King,Glasgow,bar
Maplin,Glasgow,bar
Millie's Cookies,Glasgow,bar
Greggs,Glasgow,bar
Papyrus,Glasgow,bar
Hotel Chocolat,Glasgow,bar
Co-op Tweet 4 a Table,Glasgow,bar
Warren James,Glasgow,bar
ecco,Glasgow,bar
New Id,Glasgow,bar
Pulp,Glasgow,bar
AOK Training,Glasgow,bar
Henleys,Glasgow,bar
St Enoch Inner Cycle,Glasgow,bar
Fossil,Glasgow,bar
Mary Mary,Glasgow,bar
Swatch,Glasgow,bar
Royal Bank of Scotland,Glasgow,bar
Garage Shoes,Glasgow,bar
Ness,Glasgow,bar
Bodyshop,Glasgow,bar
1levelup,Glasgow,bar
Nike - Live For The Game,Glasgow,bar
Truth,Glasgow,bar
Ortak,Glasgow,bar
Sandwich Delights,Glasgow,bar
Folli Follie Store,Glasgow,bar
McColl's,Glasgow,bar
Think Different Events,Glasgow,bar
Level Up,Glasgow,bar
ProfessioNail Beauty Salon,Glasgow,bar
Ten Till Ten,Glasgow,bar
Burton Menswear,Glasgow,bar
Clinique Counter,Glasgow,bar
H&M,Glasgow,bar
Cult Superdry,Glasgow,bar
Savers,Glasgow,bar
Burton,Glasgow,bar
Mamas and Papas,Glasgow,bar
JNR Station,Glasgow,bar
Quiz,Glasgow,bar
Reda's Barbers,Glasgow,bar
Mrs Sloans Cake Salon,Glasgow,bar
Dz,Glasgow,bar
thisispulp,Glasgow,bar
Virgin Money,Glasgow,bar
Debenhams,Glasgow,bar
hmv,Glasgow,bar
American Candy Co,Glasgow,bar
Footlocker,Glasgow,bar
Gap,Glasgow,bar
Warehouse,Glasgow,bar
T-mobile Argyle St,Glasgow,bar
Club MILAN,Glasgow,bar
TK Maxx,Glasgow,bar
Topshop,Glasgow,bar
SportsDirect,Glasgow,bar
River Island,Glasgow,bar
WHSmith,Glasgow,bar
Cairns,Glasgow,bar
Superdrug,Glasgow,bar
Monster Worldwide,Glasgow,bar
JJB Sports,Glasgow,bar
Phones 4u,Glasgow,bar
Internacionale,Glasgow,bar
istanbul hair stylists,Glasgow,bar
Chi Yoga Centre,Glasgow,bar
Illamasqua,Glasgow,bar
Town,Glasgow,bar
Radcliffes,Glasgow,bar
Argyle Street Railway Station AGS,Glasgow,bar
Marks & Spencer,Glasgow,bar
Sainsbury's Local,Glasgow,bar
M&S Cafe,Glasgow,bar
Monteith House,Glasgow,bar
Pull And Bear Olympian City,Glasgow,bar
McDonald's,Glasgow,bar
Tesco Express,Glasgow,bar
Specsavers,Glasgow,bar
JD Sports,Glasgow,bar
263 Bus,Glasgow,bar
18 Bus,Glasgow,bar
62 bus,Glasgow,bar
Barrhead Travel,Glasgow,bar
GMAC,Glasgow,bar
Bus Stop 60903710,Glasgow,bar
kanaloa,Glasgow,bar
Specsavers Hearing Centre,Glasgow,bar
limelight studios,Glasgow,bar
Bus Stop 6090106,Glasgow,bar
Newsbox,Glasgow,bar
Kollectables,Glasgow,bar
Ben Tanyas & Martins,Glasgow,bar
PUMA El Rey was here @ OrientalBar&Kitchen,Glasgow,bar
Orange,Glasgow,bar
shoe zone,Glasgow,bar
T J Hughes,Glasgow,bar
Abbey Chemist,Glasgow,bar
Greggs,Glasgow,bar
Anitopia Pets,Glasgow,bar
Strathclyde Prayer Room,Glasgow,bar
Yolo Frozen Yogurt Bar,Glasgow,bar
Merchant Hotel,Glasgow,bar
Khublai Khans,Glasgow,bar
Britannia Panopticon Music Hall,Glasgow,bar
Sharmanka,Glasgow,bar
Merchant Pride,Glasgow,bar
Ocean Fish & Chips,Glasgow,bar
Trattoria Gia,Glasgow,bar
TH Hughes,Glasgow,bar
Mitchell's,Glasgow,bar
Trongate/Candleriggs 6090103,Glasgow,bar
Merchant City News,Glasgow,bar
Urban Pind,Glasgow,bar
Boteco do Brasil,Glasgow,bar
Fraser Suites,Glasgow,bar
cafe india,Glasgow,bar
Q-Park Candleriggs,Glasgow,bar
Spoon,Glasgow,bar
Record Fayre,Glasgow,bar
DebRA,Glasgow,bar
Osbourne St Bus Stance,Glasgow,bar
Glasgow,bar 2014 Volunteer Centre,Glasgow,bar
Brazen,Glasgow,bar
Glasgow,bar 2014 Ltd Offices,Glasgow,bar
The Old Ship Bank,Glasgow,bar
Commonwealth Games Volunteer Centre,Glasgow,bar
Commonwealth House,Glasgow,bar
Perfection Bridal and Menswear,Glasgow,bar
Merchant Express,Glasgow,bar
Bus Stop 6090102,Glasgow,bar
Day Today Store,Glasgow,bar
Tesco Express,Glasgow,bar
Central Market,Glasgow,bar
Subway,Glasgow,bar
Wishbones,Glasgow,bar
Zorba,Glasgow,bar
Chilli Thrill,Glasgow,bar
Cupcake Glasgow,bar
Panoptican,Glasgow,bar
Clydeside Press,Glasgow,bar
Elbows cafe,Glasgow,bar
Glasgow,bar Sport sports Development Trongate,Glasgow,bar
Flat 4/2,Glasgow,bar
Home,Glasgow,bar
High Street Apartment 602,Glasgow,bar
The House That Jack Built,Glasgow,bar
City Car Club Vehicle,Glasgow,bar
Winn's Flat,Glasgow,bar
Moviecomtv,Glasgow,bar
Geeks Residence,Glasgow,bar
Clinique Counter,Glasgow,bar
StorkUp HQ,Glasgow,bar
Bite,Glasgow,bar
Glasgow,bar 2014,Glasgow,bar
29studios,Glasgow,bar
McChuills,Glasgow,bar
Merchant Soul,Glasgow,bar
Flat FS,Glasgow,bar
Argos,Glasgow,bar
Castle Greyskull,Glasgow,bar
Bite A Global Marketing Services Agency,Glasgow,bar
Cargo - Ecommerce Glasgow,bar
Bourne,Glasgow,bar
Croftfoot Railway Station CFF,Glasgow,bar
Blackad,Glasgow,bar
Sasha Flat,Glasgow,bar
Duncan's,Glasgow,bar
Parsonage Square,Glasgow,bar
153 Bell Street,Glasgow,bar
the B hive,Glasgow,bar
Black Cherry,Glasgow,bar
the B hive,Glasgow,bar
my old flat,Glasgow,bar
the "house",Glasgow,bar
10 Charlotte Street,Glasgow,bar
The Old Burnt Barns,Glasgow,bar
ISADON Car Wash,Glasgow,bar
My Flat,Glasgow,bar
papa's curry house,Glasgow,bar
Craig's Pad,Glasgow,bar
IV'S,Glasgow,bar
SYT,Glasgow,bar
Finnieston Crane,Glasgow,bar
Hard Rock Cafe Munich Germany,Glasgow,bar
North Rotunda,Glasgow,bar
Yen Teppanyaki & Oriental Restaurant,Glasgow,bar
La Rotunda,Glasgow,bar
Campanille Tunnel St,Glasgow,bar
Lancefield Quay Apartments,Glasgow,bar
Club 179,Glasgow,bar
Lancefield Quay Apartments,Glasgow,bar
city cafe,Glasgow,bar
ATS,Glasgow,bar
Elliot Street,Glasgow,bar
kewndawg,Glasgow,bar
Glasgow,bar City Antiques,Glasgow,bar
AWL Alfa,Glasgow,bar
Clydeside AntiquesGlasgow,bar
Hertz,Glasgow,bar
NHS Education for Scotland,Glasgow,bar
Granite Services,Glasgow,bar
ACCA,Glasgow,bar
sainsburys local,Glasgow,bar
Templeton Green,Glasgow,bar
Under the Kingston Bridge,Glasgow,bar
Prestwick International Airport Railway Station PRA,Glasgow,bar
M8 Junction 19,Glasgow,bar
Massage By Jane,Glasgow,bar
Bizspace,Glasgow,bar
Pentagon Business Centre,Glasgow,bar
Academy Class,Glasgow,bar
The Hub @ STV Central,Glasgow,bar
Autoporto Car Park,Glasgow,bar
Square Circle HR,Glasgow,bar
Davey Patersons Pad,Glasgow,bar
The Loft Creative Studios,Glasgow,bar
Barclays Call Centre,Glasgow,bar
El Castel Durie,Glasgow,bar
Ho Wong,Glasgow,bar
Home,Glasgow,bar
BDO,Glasgow,bar
Wills Gaff,Glasgow,bar
Blue Couch @ The Flat,Glasgow,bar
Alexander Thomson Hotel Glasgow,bar
Thai Orchid,Glasgow,bar
Pole Physique,Glasgow,bar
Jules,Glasgow,bar
Collage Resturant,Glasgow,bar
Radisson Blu Hotel Glasgow,bar
Work,Glasgow,bar
Waterloo,Glasgow,bar
The Atrium Radisson Blu,Glasgow,bar
bus stop 609044,Glasgow,bar
Learning Teaching Scotland,Glasgow,bar
Room 248 Radisson Blu,Glasgow,bar
Quarter Gill,Glasgow,bar
The Atrium,Glasgow,bar
The Wife's House,Glasgow,bar
The Optima,Glasgow,bar
Silks & Secrets,Glasgow,bar
Allied Healthcare,Glasgow,bar
Direct line,Glasgow,bar
Westergate,Glasgow,bar
The Sir John Moore Wetherspoon,Glasgow,bar
Platform 17,Glasgow,bar
LA Fitness,Glasgow,bar
Platform 15,Glasgow,bar
Collage Corner Bar,Glasgow,bar
Glasgow,bar Central GLC to Neilston NEI Train,Glasgow,bar
Sunset Beach,Glasgow,bar
Barrhead Travel,Glasgow,bar
Room 315@radisson Hotel,Glasgow,bar
Smarts Barbers,Glasgow,bar
Denholms Bar,Glasgow,bar
McGill's Number 26 Bus,Glasgow,bar
Hope & Argyle Coffee House,Glasgow,bar
Caffe L'ombrellone,Glasgow,bar
Saporro,Glasgow,bar
Glasgow,bar Central to Durham,Glasgow,bar
Home,Glasgow,bar
Drummond Miller,Glasgow,bar
Carfone Repair Centre,Glasgow,bar
Viceroy,Glasgow,bar
Clinique Counter,Glasgow,bar
John Brown Hairdressing,Glasgow,bar
Inside Out XL,Glasgow,bar
Platform 11,Glasgow,bar
Platform 12,Glasgow,bar
Platform 9,Glasgow,bar
The Arches,Glasgow,bar
Platform 13,Glasgow,bar
Lola & Livvy's,Glasgow,bar
Platform 14,Glasgow,bar
Hielanman's Umbrella,Glasgow,bar
Blue Lagoon,Glasgow,bar
The Penguincubator - Glasgow,bar Central,Glasgow,bar
Beauty In The City,Glasgow,bar
Greggs,Glasgow,bar
Glasgow,bar Central to Penzance 11:00 Via Sheffield,Glasgow,bar
Bus Stop 609031,Glasgow,bar
First Glasgow,bar 54 bus route,Glasgow,bar
Glasgow,bar Weihnachtsmarkt,Glasgow,bar
Coopers Bar,Glasgow,bar
Glasgow,bar Central GLC to Kilmarnock KMK Train,Glasgow,bar
the gituar store,Glasgow,bar
Scrummy Yummy Pizza,Glasgow,bar
Speedy Dental Repairs,Glasgow,bar
Nokia Care,Glasgow,bar
Baillieston Dentist,Glasgow,bar
Focus Skateboard Store Glasgow,bar
Ardrossan Harbor Train,Glasgow,bar
Mercantile Chambers,Glasgow,bar
Rockers,Glasgow,bar
Karen Millen @ House of Fraser,Glasgow,bar
McDonald's,Glasgow,bar
KFC,Glasgow,bar
Cathouse,Glasgow,bar
Fopp,Glasgow,bar
Pizza Hut,Glasgow,bar
Noodle Stop,Glasgow,bar
Poundland,Glasgow,bar
Waterstones,Glasgow,bar
Size,Glasgow,bar
Cafe W,Glasgow,bar
Tickets Scotland,Glasgow,bar
The Grant Arms,Glasgow,bar
Chopstix,Glasgow,bar
Jamaica St,Glasgow,bar
Argyle Street Jamaica Street,Glasgow,bar
Ryman,Glasgow,bar
British Heart Foundation,Glasgow,bar
Bus Stop Union St,Glasgow,bar
Sloan's Ballroom,Glasgow,bar
Forward Fitness,Glasgow,bar
Boots optician,Glasgow,bar
bus stop 60903543,Glasgow,bar
Reload,Glasgow,bar
Skint Alterations,Glasgow,bar
Argyle St,Glasgow,bar
The Gym Glasgow,bar
The Celtic Collection,Glasgow,bar
Subway,Glasgow,bar
Timpson,Glasgow,bar
G-Star Store Glasgow,bar
Bifteki,Glasgow,bar
Priceless Shoes,Glasgow,bar
Love Records,Glasgow,bar
Cardland,Glasgow,bar
52 St Enoch Square,Glasgow,bar
House of Fraser,Glasgow,bar
Zara,Glasgow,bar
HSBC,Glasgow,bar
Schuh,Glasgow,bar
Footasylum,Glasgow,bar
Bank of Scotland,Glasgow,bar
Dog Digital,Glasgow,bar
Nike,Glasgow,bar
Remnant Kings,Glasgow,bar
Wallis Argyle St,Glasgow,bar
Ann Summers,Glasgow,bar
O2,Glasgow,bar
Prada,Glasgow,bar
Santander,Glasgow,bar
Arria bar,Glasgow,bar
Claire's,Glasgow,bar
Renfield Street 94,Glasgow,bar
Parchment,Glasgow,bar
Armani,Glasgow,bar
Enable Scotland National Office,Glasgow,bar
Ramsdens,Glasgow,bar
Sky Palace,Glasgow,bar
Curves Gym,Glasgow,bar
Bodyline Tattoo Studio,Glasgow,bar
Bleep Purple,Glasgow,bar
Cardross street,Glasgow,bar
Clinique Counter,Glasgow,bar
Sloans,Glasgow,bar
The 3 Store,Glasgow,bar
Argyle Arcade,Glasgow,bar
Superdry Outlet,Glasgow,bar
Sloans market,Glasgow,bar
G-Star Raw,Glasgow,bar
Clarks,Glasgow,bar
Chisholm Hunter,Glasgow,bar
Hybrid Academy of Martial Arts,Glasgow,bar
Evans,Glasgow,bar
Carphone Warehouse,Glasgow,bar
Greggs,Glasgow,bar
Talal Alenezi Flat,Glasgow,bar
ROX,Glasgow,bar
Bernstone's,Glasgow,bar
Sizzling Pubs,Glasgow,bar
Al-Shatti's Apartment,Glasgow,bar
Hanin's Flat,Glasgow,bar
Antwerp Diamond Company,Glasgow,bar
Bottles 2 Clocks,Glasgow,bar
Accessorize,Glasgow,bar
Vodafone,Glasgow,bar
Barclays Diamonds,Glasgow,bar
Soundpuddle HQ,Glasgow,bar
JJB Rangers,Glasgow,bar
Candy N Shake,Glasgow,bar
Capital Hair & Beauty,Glasgow,bar
Bus Stop 609049,Glasgow,bar
My Home,Glasgow,bar
My Home ,Glasgow,bar
My Home,Glasgow,bar
My Home,Glasgow,bar
My Home,Glasgow,bar
Geek Squad Mobile Phone Repair Hub,Glasgow,bar
My Home,Glasgow,bar
My Home,Glasgow,bar
My Home ,Glasgow,bar
My Home,Glasgow,bar
Jeddah,Glasgow,bar
Diesel - House of Fraser,Glasgow,bar
Primark,Glasgow,bar
Barclays,Glasgow,bar
Strata,Glasgow,bar
Next,Glasgow,bar
Topman,Glasgow,bar
75 Bus,Glasgow,bar
Cult Clothing,Glasgow,bar
Paid On Results Ltd,Glasgow,bar
5pmcouk,Glasgow,bar
Holland & Barrett,Glasgow,bar
Tam Shepherds,Glasgow,bar
Blackbaud Europe Ltd,Glasgow,bar
Centrum offices,Glasgow,bar
Independent Bar & Kitchen,Glasgow,bar
Foot Locker,Glasgow,bar
Zebra Cafe,Glasgow,bar
Indnt,Glasgow,bar
CQ's,Glasgow,bar
Muse Bar,Glasgow,bar
Sugarcube Nightclub,Glasgow,bar
Americandy,Glasgow,bar
Demonica's,Glasgow,bar
New Kismet,Glasgow,bar
Ico Ico Creative,Glasgow,bar
70 Queen Street,Glasgow,bar
The Studio,Glasgow,bar
Roca,Glasgow,bar
The Streat,Glasgow,bar
Tattoo Nightclub,Glasgow,bar
Brutti Compadres,Glasgow,bar
Clarins Skin Spa at Debenhams,Glasgow,bar
Gift World,Glasgow,bar
Giftworks,Glasgow,bar
Sarah's room,Glasgow,bar
Student Village,Glasgow,bar
Rock Lobster,Glasgow,bar
Virginia Gallery,Glasgow,bar
Merchant City Inn,Glasgow,bar
Luke & Jack,Glasgow,bar
Tobacco Exchange,Glasgow,bar
Parrucche Wig & Hair Boutique,Glasgow,bar
Virginia Street,Glasgow,bar
Beauty Feet Fish Spa,Glasgow,bar
Moda,Glasgow,bar
City Car Club Vehicle,Glasgow,bar
Subway,Glasgow,bar
Grosvenor Casino Glasgow,bar Merchant City,Glasgow,bar
Peckham's,Glasgow,bar
Mansion House,Glasgow,bar
Merchant City Yoga,Glasgow,bar
Cookery School,Glasgow,bar
20:20 Opticians,Glasgow,bar
Glassford street,Glasgow,bar
Tiffanys,Glasgow,bar
SAMH Scottish Association for Mental Health,Glasgow,bar
Merchant City Post Office,Glasgow,bar
Lucky Voice,Glasgow,bar
NCP The Glasshouse,Glasgow,bar
Merchant City Barbers,Glasgow,bar
Glasgow,bar Housinh Association GHA,Glasgow,bar
