Text,WeekDay,Month,Day,Time,+SMT,Year,Location,Language,Followers_count,Friends_count
rt kefera iwantkefera ,mon,sep,30,19:02:02,+0000,2013,sp,pt,0,3
rt sunnyright reid says he will only accept getting everything he wants. media to explain how that republicans are uncompromising. harry…,mon,sep,30,19:02:02,+0000,2013,tx,en,1124,788
la carne es d?bil,mon,sep,30,19:02:02,+0000,2013,,es,694,224
are up not its so in find was out your out out to out of just,mon,sep,30,19:02:02,+0000,2013,,en,0,0
28 usu?rios que eu sigo n?o me seguem de volta no twitter. saiba quem n?o te segue de volta httpt.covv05jrldi5,mon,sep,30,19:02:02,+0000,2013,l?o  thai ,en,1270,943
banane plantin poisson grill?,mon,sep,30,19:02:02,+0000,2013,tu mcherche tu mtrouvera pa ,fr,100,79
alo_marie your looking forward to seeing me.,mon,sep,30,19:02:02,+0000,2013,copenhagen,en,77,73
andreina ta aquii,mon,sep,30,19:02:02,+0000,2013, arma??o ,pt,259,141
rt naqaa92 hi october  shlonek d,mon,sep,30,19:02:02,+0000,2013,hopefully close to the centre,en,573,562
rt thecarlospena twc thanks for making me wait 3 months for nada happymonday,mon,sep,30,19:02:02,+0000,2013,monterrey,es,331,414
serge1777        .           ,mon,sep,30,19:02:02,+0000,2013,,en,767,368
luke_loiz wicked you didnt by any chance get one in the afternoon too did you,mon,sep,30,19:02:02,+0000,2013,london,en,302,257
i thought katy was going darker with prism but it looks like its the opposite,mon,sep,30,19:02:02,+0000,2013,california,en,1121,967
rt cfd_trading_de kostenlose zeitlich unbegrenzte demo-tradingplattform httpt.cozinaw8fvqi   plus500 aktien forex indizes rohsto…,mon,sep,30,19:02:02,+0000,2013,,en,862,502
rt trkialsbte      ‹› (      )     ‹,mon,sep,30,19:02:02,+0000,2013,,ar,291,213
time to go on my run ,mon,sep,30,19:02:02,+0000,2013,,en,771,266
.com httpt.coqnult6wbcq,mon,sep,30,19:02:02,+0000,2013,,ja,1614,1749
vhs pokemon,mon,sep,30,19:02:02,+0000,2013,,ja,55,83
rt akunsindir kalo pacar loe ngambek gara-gara loe kecentilan ya wajar aja. tandanya dia cemburu ngerti,mon,sep,30,19:02:02,+0000,2013,,id,110,122
dominican republic revokes citizenship for haitian children httpt.codslbkb0u4h,mon,sep,30,19:02:02,+0000,2013,chicago,en,29,39
          ,mon,sep,30,19:02:02,+0000,2013,,ar,7360,7202
               (        )  ,mon,sep,30,19:02:02,+0000,2013,,ar,347,592
rt jocelyncarbon_ les profs qui veulent rattraper une heure de cours parce-quils ?taient absent ltltltlt wsh tes pas la tes pas la  casse…,mon,sep,30,19:02:02,+0000,2013,paris xi - sqt ,fr,164,49
sra_bieber01 es tu culpa xd,mon,sep,30,19:02:02,+0000,2013,  espa?a ,es,1707,1659
rt elgatoromantico 15 maneras de quemar calor?as. ?r?pido y f?cil httpt.cod3mbouyjlx - sp,mon,sep,30,19:02:02,+0000,2013,bolivar-venezuela,es,103,120
charleyygirl davidjames_m not good. x,mon,sep,30,19:02:02,+0000,2013,?t 51.524059-0.084006,en,136,189
ohlala ya trop de  putain  dans mes tweets faut que je me calme l? ,mon,sep,30,19:02:02,+0000,2013,,fr,362,221
rt chunyoon0530 [130608~130609 gg world tour in seoul update]   2   .   .  httpt.comwqzv4pjwu http…,mon,sep,30,19:02:02,+0000,2013,midgard,en,81,167
         .,mon,sep,30,19:02:02,+0000,2013,...,en,638,290
el otro dia voy a buscar a agustin y sale franco tenian que ver mi cara de orgasmo jajajajaajjajaja es muy hermoso.,mon,sep,30,19:02:02,+0000,2013,club atl?tico river plate ,es,185,301
dance time,mon,sep,30,19:02:02,+0000,2013,instragram  manolabarras,fr,152,112
que onda el horoscopo,mon,sep,30,19:02:02,+0000,2013,,es,579,508
yes demskeeblaze can you double date qna,mon,sep,30,19:02:02,+0000,2013,hov lane with hb,en,1697,760
rt muchedumbre30s lunes 30 de septiembre circula con el tel?grafo dvd de muchedumbre nueva edici?n subtitulada al ingl?s y franc?s,mon,sep,30,19:02:02,+0000,2013,quito-ecuador,es,63,175
rt _cgibb get better with time. and time is forever.,mon,sep,30,19:02:02,+0000,2013,,en,487,493
rt gop .speakerboehner called out the absent senate saying we are facing a budget emergency httpt.conpzofwober senatemustact,mon,sep,30,19:02:02,+0000,2013,nc,en,345,604
12 kcaargentina martinastoessel,mon,sep,30,19:02:02,+0000,2013,brasil,pt,81,234
avonsdxisy ikr,mon,sep,30,19:02:02,+0000,2013,,en,2128,924
rt ourtomlinson  rt per un indiretto sullabbinamento icon-intestazione ((seguimi e ti seguo)) 5,mon,sep,30,19:02:02,+0000,2013,28062014,it,1070,1149
j_filosa cest qui le no.1 ? st-louis ,mon,sep,30,19:02:02,+0000,2013,rive-sud de montr?al.,en,23,523
gabriela_isa29 noo,mon,sep,30,19:02:02,+0000,2013,,es,167,201
rt 1dliveupdates soft louis in perth aw httpt.coroyx5u1tnb,mon,sep,30,19:02:02,+0000,2013,,en,33,125
no electricity and im on one bar (,mon,sep,30,19:02:02,+0000,2013,south africa || swaziland,en,1084,626
rt thetumblrposts have you ever wondered this httpt.copobssjcp0u,mon,sep,30,19:02:02,+0000,2013,,en,25,73
rt idekdemetria rt for an indirect,mon,sep,30,19:02:02,+0000,2013,,tr,6602,4294
you just think that i’m full of it. we both come from backgrounds of bullshit. i’m fortunate that aint what you see in me.,mon,sep,30,19:02:02,+0000,2013,kansas city missouri,en,376,343
rt turkishjcat unionj9191 what a nice acc  lots of loves ,mon,sep,30,19:02:02,+0000,2013,,en,135,331
some kid at my school got suspended bc he was wearing a shirt that said beach dont kill my vibe lmao  you,mon,sep,30,19:02:02,+0000,2013,,en,270,136
rt_erdogan ubatta5binnglzceatamastiyoruz..,mon,sep,30,19:02:02,+0000,2013,,tr,11,122
onlyforthem_ normal tu va me voir lt3,mon,sep,30,19:02:02,+0000,2013,,fr,69,133
rt dellialshallah                    )     …,mon,sep,30,19:02:02,+0000,2013,,en,1291,95
 ii?  httpt.cojpumeb7vv7,mon,sep,30,19:02:02,+0000,2013,,ja,330,0
rt _skinyyyy 3 more mins ,mon,sep,30,19:02:02,+0000,2013,,en,264,215
httpt.co9cj1psymzu  123 flash menu 4 1 5 1400,mon,sep,30,19:02:02,+0000,2013,,en,4,1
rt rosac123 genpenaloza doble nacionalidad de maduro cobra fuerza en la fanb veo pocos l?deres apoyando denuncia walter_marquez+hcapr…,mon,sep,30,19:02:02,+0000,2013,venezuela ,es,1334,2005
rt adamin85 okej offside men lindgrenortiz det d?r var v?l en idiot-r?ddning av stam killensominteg?rs?danaenligtoscari08fotboll,mon,sep,30,19:02:02,+0000,2013,estocolmo,sv,880,94
ses comme quand jete,mon,sep,30,19:02:02,+0000,2013,,fr,1,19
fall is a good time to “fall back” into fitness.  httpt.copnnmxxaoiw httpt.coq5u9971mco,mon,sep,30,19:02:02,+0000,2013,,en,11,0
today stats one follower one unfollower via httpt.coot8vsmmvzz,mon,sep,30,19:02:02,+0000,2013,,en,254,208
niai07 ) that faggot,mon,sep,30,19:02:02,+0000,2013,,en,68,157
_ronq      ,mon,sep,30,19:02:02,+0000,2013,,ar,58,44
stalkeamos ,mon,sep,30,19:02:02,+0000,2013,                rosario,es,525,485
rt amormalahe ella se fue esperando que ?l la detuviera.. y ?l la dejo ir esperando que ella regresara..,mon,sep,30,19:02:02,+0000,2013,sevilla espa?a,es,319,263
 930 405  6 -9 countkun kaimeim,mon,sep,30,19:02:02,+0000,2013,tutya,ja,55,102
rt drr_alklaam                  . -  ,mon,sep,30,19:02:02,+0000,2013,,en,339,353
farizafandemp merci beaucoup bisous ),mon,sep,30,19:02:02,+0000,2013,,fr,269,251
digamosque estoy ansioso por tener el fifa en mi compupero los chotos de skidrow no se apuran con el crack -.-,mon,sep,30,19:02:02,+0000,2013,resido en mi casa,es,1581,1556
i wish that this could last forever but maybe one night is even better,mon,sep,30,19:02:02,+0000,2013,,en,315,231
misterdwallace httpt.coz0vn5uew0g,mon,sep,30,19:02:02,+0000,2013,ukraine,en,0,0
rt niquitoacevedo ser? una gran semana para losjornadistas  d,mon,sep,30,19:02:02,+0000,2013,,es,125,137
                           .,mon,sep,30,19:02:02,+0000,2013,instagraminadaxd,ar,9293,284
great thought. rt mdaimler sculptures demonstrate arts power to change the way we view the world. httpt.cotybrsqqmxo disuverosf,mon,sep,30,19:02:02,+0000,2013,san francisco ca,en,409552,240957
ama kamiti cwaguthi its not cammittee its committee..gah,mon,sep,30,19:02:02,+0000,2013,kenya world ,en,458,447
rt hurricaxne nienawidze niemca jezu on jest popierdolony,mon,sep,30,19:02:02,+0000,2013,poland ,en,438,285
rt alialqataine forsa123l123,mon,sep,30,19:02:02,+0000,2013,,en,217,16
es mi cuenta e insulto a quien se me salga de los huevos.,mon,sep,30,19:02:02,+0000,2013,barquisimeto venezuela.,es,97,69
camigarcialf boluda te odio tenia las tetas llenas de harina,mon,sep,30,19:02:02,+0000,2013, 20th july mg with justin ,es,478,492
   httpt.cojjbrt0qlno,mon,sep,30,19:02:02,+0000,2013,,en,0,0
rt callmeevaaaaaaa with its_boo_bitchiz httpt.cotjxhqkpwrn,mon,sep,30,19:02:02,+0000,2013,tonga soa p?tasse ,fr,431,388
guarraaaaaa — lo tendre en cuenta httpt.coljo4gn3blz,mon,sep,30,19:02:02,+0000,2013,madrid,es,418,336
httpt.covatftkhlak alimentation mean well sp?ciale led 100w etanche ip67 lpv-100-12,mon,sep,30,19:02:02,+0000,2013,,en,0,0
i no wan hear sef cos i knw say na nonsensnaenae_swagiee amebo i wnt tell uabbakabir dd wtnaenae_swagiee randy orton,mon,sep,30,19:02:02,+0000,2013,somewhere in the world d,en,787,550
drtopcat que r?pido te awitas y bloqueas ni aguantas nada papa,mon,sep,30,19:02:02,+0000,2013,,es,1436,1374
aj and kamil scenes melt my heart. eastenders,mon,sep,30,19:02:02,+0000,2013,london,en,1029,988
act2endassadswar httpt.co64liiuamgv usa uk denmark holland us canda washingtondc just one love - a message2 syria and russia,mon,sep,30,19:02:02,+0000,2013,,en,148,168
2 unfollow no tumblr estou de luto por essas pessoas,mon,sep,30,19:02:02,+0000,2013,gondor,pt,142,141
rt pelinrekreasyon suatkilic sayn bakanm g??l? yarnlar i?in g?reve hazrzbizi dinlediiniz i?in teekk?r ederiz.rekreasyonb?l?m?me…,mon,sep,30,19:02:02,+0000,2013,,tr,11,21
omg dead) .jewelvn [hd] 130926 elf japan fm -eunhyuk haseol_] httpt.coo7ehz5a8ho,mon,sep,30,19:02:02,+0000,2013,blue world~,ar,45,141
rt ferchmtzrod watch katy perry pues ni gaga ni britney han logrado superar roar  applause,mon,sep,30,19:02:02,+0000,2013,usa               21†01†13,en,12378,11990
emilylauren_xox ahaha ill reply now,mon,sep,30,19:02:02,+0000,2013,,en,1636,1983
rt detta90s jen peux plus de ces gens la.  hartzala gad? sa  httpt.coz2dntwxrog,mon,sep,30,19:02:02,+0000,2013,,fr,237,167
?por qu? somos irreflexivos httpt.covzv83s0s1m v?a lavanguardia,mon,sep,30,19:02:02,+0000,2013,villanueva de las torres,es,408,423
srknhakan ahahaha d aynen ya d duzgunu beni bulmaz zaten d,mon,sep,30,19:02:02,+0000,2013,,tr,9,5
radiotimes rose parties hard and matthew speaks from beyond the grave in downtonabbey series four episode two httpt.conq7y7irqyk,mon,sep,30,19:02:02,+0000,2013,manchester liverpool  uk,en,286,1100
susu nounna_ditaa,mon,sep,30,19:02:02,+0000,2013,bekasi - west java,id,1017,561
rt yacoub77zoo leo tu es le pls con d entre ns,mon,sep,30,19:02:02,+0000,2013,,fr,113,93
cannot waot to leave nevercomingback,mon,sep,30,19:02:02,+0000,2013,,en,34,51
open enrollment for affordable care act begins tomorrow -- crepeau has a super helpful guide to navigating it httpt.co4ddedll17h,mon,sep,30,19:02:02,+0000,2013,chicago il usa,en,86559,11353
“erdoo__ new ava” mb,mon,sep,30,19:02:02,+0000,2013,,en,320,119
sube tu autoestima querida no tu falda.,mon,sep,30,19:02:02,+0000,2013,venezuela.,es,141,133
drunkoftwbiebz omg hahahah thats a new one,mon,sep,30,19:02:02,+0000,2013,• in jays nonexistent hair •,en,1964,1571
abril rios more like abril be my wife,mon,sep,30,19:02:02,+0000,2013,usa,en,602,956
ex0314ldh (),mon,sep,30,19:02:02,+0000,2013,,ja,305,311
sigam gtgt shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel ltlt 4x,mon,sep,30,19:02:02,+0000,2013,em um lugar desconhecido ,pt,483,573
happy birthday  caligirljoanna have a good one .,mon,sep,30,19:02:02,+0000,2013,l.acali .grandklan.selfieking,en,748,424
cataberdini gabrlgtti y bueno capaz que le sobraron...,mon,sep,30,19:02:02,+0000,2013,la plata,es,102,211
rt filosofiatipica nada m?s bonito que una persona que sepa sacarte una sonrisa cuando m?s lo necesitas.,mon,sep,30,19:02:02,+0000,2013,el salvador,es,156,150
rt candacestrick10 i wanna go on a road trip,mon,sep,30,19:02:02,+0000,2013,lumberton nc ,en,758,494
wow makin memanas pasang selimutkipas2 sate,mon,sep,30,19:02:02,+0000,2013,hogwarts  sometimes in narnia,en,1073,769
“oceanhasfaith d_dowdy34 nitzagabrielle you didnt even go to the last one” i know my invite got lost in the mail,mon,sep,30,19:02:02,+0000,2013,,en,393,297
rt migueltrinidada ?peajes masivos o eurovi?etas para salvar a grandes grupos constructores de autopistas?y a nosotros quien nos salva …,mon,sep,30,19:02:02,+0000,2013,espa?a,es,315,597
rt eva_mcf muchas felicidades carlosjose95 )disfruta de tus 18 y esas cosillas besis,mon,sep,30,19:02:02,+0000,2013,le?n fuensalida (toledo),es,557,481
aunque se que las llevo de perder prefiero dar un salto a lo desconocido,mon,sep,30,19:02:02,+0000,2013,,en,225,210
llegar al nivel de estupidez m?ximo que coges el vaso con jugo y que se te riegue en toda la comida.,mon,sep,30,19:02:02,+0000,2013,,es,466,775
vasy les cours sa me soul,mon,sep,30,19:02:02,+0000,2013,femmedecaract?reteamdance,fr,95,96
recuerda que yo tambi?n s? fingir que no me importas no lo olvides.,mon,sep,30,19:02:02,+0000,2013,,es,225,248
rt signosdehoje aqu?rio quando estiver muito dif?cil de ficar de p? ajoelhe-se.,mon,sep,30,19:02:02,+0000,2013,cuiab? - mt ,es,383,153
world view algeria cracks down on jihadists headed for syria via globenewsfeed   httpt.comawirtl7lm,mon,sep,30,19:02:02,+0000,2013,city that never sleeps nyc,en,523,504
mmosomm  ,mon,sep,30,19:02:02,+0000,2013,,en,158,105
thuthu maqhosha ,mon,sep,30,19:02:02,+0000,2013,south afric,en,766,278
_dequevas busca porque siempre hay oro en la basura,mon,sep,30,19:02:02,+0000,2013,madrid,es,97,47
bielejewska 08pati lusiaax nandos_bejbe haha muzeum stylesa wol nie wiedzie jakie jeszcze dasz tam eksponaty xd hahah xd,mon,sep,30,19:02:02,+0000,2013,poland,pl,989,1250
rt wikegard fler spelare med dif anknytning  i fbk (4) ?n v?rml?nningar (3.). vart ?r hockeyn p? v?g  wesslau har gott fr?n att vara b?s…,mon,sep,30,19:02:02,+0000,2013,,sv,41,93
rt antonio98zc ya en casa despu?s de hacerle una visitilla a la ni?a m?s guapa loreloveme ),mon,sep,30,19:02:02,+0000,2013,,es,644,591
casio ve retro model diyorum baka da birey demiyorum.,mon,sep,30,19:02:02,+0000,2013,istanbul - turkey,tr,111,88
jivezachy fuck you miss u2,mon,sep,30,19:02:02,+0000,2013,,en,117,587
xtrolfacex i have pics to show you i need you to klk me misshottiexx,mon,sep,30,19:02:02,+0000,2013,,en,0,3
paroles de chanson astrud gilberto - here is that rainy day traduction lyrics httpt.codvmod2houe,mon,sep,30,19:02:02,+0000,2013,,ru,73,1951
uunnnnnnn~ rtjeriychiq danielabdhalim hahaha .. ann annnn ,mon,sep,30,19:02:02,+0000,2013, shah alam,en,348,180
nice to meet jonathan night look for the new acquaintances in the streets of london httpt.co3pmjajespb ipad ipadgame...,mon,sep,30,19:02:02,+0000,2013,,en,0,3
rt ribeiro_micael morenas gt loiras,mon,sep,30,19:02:02,+0000,2013,,en,240,231
rt assj11     httpt.cofbdton2oqd,mon,sep,30,19:02:02,+0000,2013,,ar,38,93
xxevanilson myrishax bedreiging.,mon,sep,30,19:02:02,+0000,2013,161298,nl,258,199
personasimportantesenmivida todas aquellas que no han fallado saben quienes son,mon,sep,30,19:02:02,+0000,2013,,es,219,145
trek roraima tepuy 6d5n.. bs 6590 pp tincluido(hospcarpasba?o port?til comidasetc) -?? httpt.cojgngtzwp2t anuncios,mon,sep,30,19:02:02,+0000,2013,valencia,es,16114,15919
rt zaytung a?klanan paketle biraz daha ?zg?rleen t?rkiye babakana soru sorabilen lk gazeteciyi 2023e yetitirmeyi umuyor..httpt…,mon,sep,30,19:02:02,+0000,2013,zmir,tr,138,128
rt nav_deportiva si lo dese?is pod?is seguir en directo (streaming) la caoasamblea a trav?s de httpt.coibijpqefkc,mon,sep,30,19:02:02,+0000,2013,pamplonairu?a,es,871,521
minecraft  chest minecraft  chest httpt.comv6g2zait7 httpt.coziyr8i12vu,mon,sep,30,19:02:02,+0000,2013,,ru,0,1
hahha jaken siah haha rt fauzan_balweel beungeutna oge garetek kitu djulilukman hahahaha mita dan dara berdendang pa tukang mumuteran,mon,sep,30,19:02:02,+0000,2013,bandung,id,226,355
