Name,Type,Latitude,Longitude,City,Country
kilbirnie st rrap,light rail,55.84602865710425,-4.2678570536297515,,united kingdom
sher brothers cash  carry,food  drink shop,55.84554,-4.264171,,united kingdom
seventh-day adventist church turriff str. glasgow,church,55.845359802246094,-4.260986804962158,glasgow,united kingdom
jobcentre plus,government building,55.8460998224853,-4.259202430621493,glasgow,united kingdom
laurieston jc+,government building,55.84553778972071,-4.2587197853323335,glasgow,united kingdom
invensys rail,office,55.84548425473833,-4.2576451275973435,,united kingdom
23 bus,moving target,55.84604,-4.25678,,united kingdom
james f kidd,building,55.84576964378357,-4.257105588912964,glasgow,united kingdom
nicola and gavs pad,home private,55.845668788985996,-4.256479651168762,,united kingdom
scots house,home private,55.845668788985996,-4.256479651168762,,united kingdom
the pit stop,,55.845586,-4.2515378749999995,glasgow,united kingdom
home ryan m,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
ee,mobile phone shop,55.846005,-4.242789,,united kingdom
glasgow national hockey centre,hockey field,55.845248542733366,-4.236714057755566,,united kingdom
glasgow green football centre,soccer field,55.845981,-4.234161,glasgow,united kingdom
social climbers ltd,tech startup,55.845976014034214,-4.2304229736328125,glasgow,united kingdom
shields train depot,train,55.8466762304306,-4.285714030265808,glasgow,united kingdom
alstom,residential building apartment  condo,55.84677876,-4.28434237,glasgow,united kingdom
st andrews drive park,playground,55.84696670923032,-4.280616373749335,glasgow,united kingdom
27 st. andrews cres,residential building apartment  condo,55.846454,-4.278062,,united kingdom
diarmids flat,home private,55.845159328887426,-4.2711876793321,,united kingdom
arnold clark van centre,automotive shop,55.846876,-4.268545,,united kingdom
scotland gas networks,office,55.846829360845895,-4.265352360239334,glasgow,united kingdom
t.smith snack bar,food truck,55.84703,-4.265391,glasgow,united kingdom
griphouse southside,martial arts dojo,55.84670150833557,-4.261003146521926,shawlands,united kingdom
aynams grill station,indian restaurant,55.84655246,-4.259459,glasgow,united kingdom
melbras place,home private,55.845668788985996,-4.256479651168762,,united kingdom
ross electrical,miscellaneous shop,55.84638549190216,-4.256344435785069,glasgow,united kingdom
new turban tandoori,indian restaurant,55.84665671619283,-4.2550601455763,giffnock,united kingdom
johnnys pad,home private,55.845668788985996,-4.256479651168762,,united kingdom
new gorbals park southside,park,55.84638602994538,-4.253042420339185,glasgow,united kingdom
dickie heights,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
my house,home private,55.845668788985996,-4.256479651168762,,united kingdom
waterside team,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
new gorbals,other great outdoors,55.846939742566256,-4.248189926147461,glasgow,united kingdom
home sweet home,home private,55.84617638569836,-4.241774407702005,,united kingdom
tbones crib.,home private,55.84617638569836,-4.241774407702005,,united kingdom
msc on tour glasgow mansion,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
st francis centre,convention center,55.846495,-4.245566,,united kingdom
provan towers,home private,55.84617638569836,-4.241774407702005,,united kingdom
greggs,bakery,55.84663200801935,-4.245056180472904,,united kingdom
flat 31 16 st. valentines terrace,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
francis rc primary school,school,55.846658,-4.243925,glasgow,united kingdom
mortgage advisor glasgow,real estate office,55.846879510233016,-4.242353439331055,glasgow,united kingdom
bonnie prince charlies gate,historic site,55.8470240404717,-4.236361926183662,glasgow,united kingdom
city of glasgow college hall of residence,college residence hall,55.84668,-4.236623,glasgow,united kingdom
lynseys house,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
dassie green on glasgow green,park,55.84669595733141,-4.231175873079296,glasgow,united kingdom
mr snugglies,home private,55.84668212005396,-4.227071951219966,glasgow,united kingdom
trespass,sporting goods shop,55.84796015834075,-4.2857971708036535,glasgow,united kingdom
sher bros,miscellaneous shop,55.84750592193636,-4.264669418334961,glasgow,united kingdom
anaya glasgow,hookah bar,55.847104,-4.264461,glasgow,united kingdom
mammys,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
pole position,dance studio,55.847683,-4.25823,glasgow,united kingdom
soap kitchen,arts  crafts store,55.84714638968076,-4.256755792651837,glasgow,united kingdom
gorbals sounds,theater,55.847184878081336,-4.255368580132447,,united kingdom
whiteinch centre,building,55.847713,-4.255603,,united kingdom
19 malta terrace,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
home sweet home,assisted living,55.847783,-4.252826,glasgow,united kingdom
cumberland street,road,55.847530014492584,-4.251290559768677,glasgow,united kingdom
home,home private,55.845668788985996,-4.256479651168762,,united kingdom
abode of the bearded,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
gorbals rose garden,garden,55.84725294919447,-4.24497127532959,glasgow,united kingdom
grazias place,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
reubanz,,55.847841,-4.245825,,united kingdom
tonys southside palace,home private,55.84617638569836,-4.241774407702005,,united kingdom
