Text,WeekDay,Month,Day,Time,#NAME?,Year,Location,Language,Followerscount,Friendscount
questo  quello che ho pescato questa mattina httptcopnyl5b4zws,mon,sep,18,19:02:02,0,2013,,it,5,58
rt arsenal who is your favourite german at arsenal get involved in the debate now - httptcodttz1d7zep  clockend,mon,sep,18,19:02:02,0,2013,kuala lumpur malaysia,en,4,20
                       ,mon,sep,18,19:02:02,0,2013,,ar,19,58
beiktan kapsn biz atk imdi gelen geen giriyor ,mon,sep,18,19:02:02,0,2013,trkye,tr,7360,6350
on est que la 2 semaine depuis que les cours ont repris jen peux dj plus du manque de sommeil,mon,sep,18,19:02:02,0,2013,paris,en,241,661
            ,mon,sep,18,19:02:02,0,2013,ksa,ar,13450,2025
asleep awake asleep awake my body needs to decide what the fuck it wants to do,mon,sep,18,19:02:02,0,2013,,en,345,276
fabio sabatini – dove c’ barilla c’ una sguattera httptcopm751cqsxx,mon,sep,18,19:02:02,0,2013,lake of garda - italy,it,498,1989
rt thiagomacgames aquelas criancinhas que no calam a boca de jeito nenhum e voc pensa como seria bom dar um pequeno soco mas pequeno s…,mon,sep,18,19:02:02,0,2013,so paulo,pt,2372,324
ifeytv cassidymazotas k,mon,sep,18,19:02:02,0,2013,,en,223,41
chrisdupont07 prolly like 345,mon,sep,18,19:02:02,0,2013,manchester nj - buffalo ny,en,482,926
rt turkinsudairi            http…,mon,sep,18,19:02:02,0,2013,,en,70,265
killaakayla yeah it will i cant wait lol ,mon,sep,18,19:02:02,0,2013,southern cali,en,75,69
rt aitariaes la internacionalizacin de las empresas espaolas en la actualidad httptcotp2a9oykuy,mon,sep,12,19:02:02,0,2013,len - espaa,es,21,55
rt clarampj no conocer esta respuesta es de sermuy muggle albusdumb httptcoviaywyflo2,mon,sep,12,19:02:02,0,2013,,es,83,110
beli gta tapi tk main zz waste moooooneehhhh,mon,sep,12,19:02:02,0,2013,,en,177,140
               ,mon,sep,12,19:02:02,0,2013,,ar,2071,1833
fatinshahidan dah mcm i nieh penyangak pulak tak selamat bagai -- hahaha yelah wakk ikut you jee,mon,sep,12,19:02:02,0,2013,kuala kangsar - gombak,en,441,249
hannibalclk oynyalm m lt3,mon,sep,12,19:02:02,0,2013,tomorrowland,tr,195,134
rt dennisposts miley cyrus - an emoji story ,mon,sep,12,19:02:02,0,2013,,en,1170,1167
kingaling randeenicole theirs broke go buy one- - what happened to urs,mon,sep,30,19:02:02,0,2013,dallas tx,en,1986,1531
rt ramazankaya58 yakr httptcos3agxb7i1o,mon,sep,30,19:02:02,0,2013,,tr,441,484
pabloooatm21 luciagarcivaldi jajaja entre tu y angelaaburgos,mon,sep,30,19:02:02,0,2013,instagram portyofficial,es,254,249
perseofagdr non penso ride,mon,sep,30,19:02:02,0,2013,211 with riley and lia,it,49,48
aibig ,mon,sep,30,19:02:02,0,2013,,ja,76,78
jpense que jvais etre en jail,mon,sep,1,19:02:02,0,2013,,fr,180,148
jelliebean i just cried a little that so sad jean ,mon,sep,1,19:02:02,0,2013,,en,71,71
no dejemos que se apague no 8,mon,sep,1,19:02:02,0,2013,everywhere,es,1012,188
        httptcousrokokyj6 httptcofcm3kc4gbr,mon,sep,1,19:02:02,0,2013,,en,14,66
rt carolineee367 me rn httptcooawy06two4,mon,sep,1,19:02:02,0,2013,,en,291,214
                ,mon,sep,1,19:02:02,0,2013,abudhabi,en,14,0
vivaantes cascarelo e j a srio eu no contrataria algum assim para trabalhar na minha oficina prefiro fregar eu o vter,mon,sep,11,19:02:02,0,2013,corunha galiza,en,173,244
el reto se ha iniciado participa con tus fotos en el concurso photo challenge  ingresa a  httptco93g10vln8v mpc2013,mon,sep,1,19:02:02,0,2013,santiago chile,es,379591,12260
rt larrepy mrehnfeldt hoy a las 1800 se presenta el primer diario digital universitario de la carrera de comunicacin una httptc…,mon,sep,1,19:02:02,0,2013,de algn lugar de paraguay,es,433,285
siva karthikeyan will replace dhanush in next wunderbaner film dir ethirneechal fame durai  music  anirudh role   cop,mon,sep,1,19:02:02,0,2013,,en,3619,378
rt kefera iwantkefera ,mon,sep,1,19:02:02,0,2013,sp,pt,0,3
rt sunnyright reid says he will only accept getting everything he wants media to explain how that republicans are uncompromising harry…,mon,sep,1,19:02:02,0,2013,tx,en,1124,788
la carne es dbil,mon,sep,1,19:02:02,0,2013,,es,694,224
are up not its so in find was out your out out to out of just,mon,sep,1,19:02:02,0,2013,,en,0,0
28 usurios que eu sigo no me seguem de volta no twitter saiba quem no te segue de volta httptcovv05jrldi5,mon,sep,1,19:02:02,0,2013,lo  thai ,en,1270,943
banane plantin poisson grill,mon,sep,1,19:02:02,0,2013,tu mcherche tu mtrouvera pa ,fr,100,79
alomarie your looking forward to seeing me,mon,sep,1,19:02:02,0,2013,copenhagen,en,77,73
andreina ta aquii,mon,sep,1,19:02:02,0,2013, armao ,pt,259,141
rt naqaa92 hi october  shlonek d,mon,sep,1,19:02:02,0,2013,hopefully close to the centre,en,573,562
rt thecarlospena twc thanks for making me wait 3 months for nada happymonday,mon,sep,1,19:02:02,0,2013,monterrey,es,331,414
serge1777                   ,mon,sep,1,19:02:02,0,2013,,en,767,368
lukeloiz wicked you didnt by any chance get one in the afternoon too did you,mon,sep,1,19:02:02,0,2013,london,en,302,257
i thought katy was going darker with prism but it looks like its the opposite,mon,sep,1,19:02:02,0,2013,california,en,1121,967
rt cfdtradingde kostenlose zeitlich unbegrenzte demo-tradingplattform httptcozinaw8fvqi   plus500 aktien forex indizes rohsto…,mon,sep,1,19:02:02,0,2013,,en,862,502
rt trkialsbte      ‹›            ‹,mon,sep,1,19:02:02,0,2013,,ar,291,213
time to go on my run ,mon,sep,1,19:02:02,0,2013,,en,771,266
com httptcoqnult6wbcq,mon,sep,1,19:02:02,0,2013,,ja,1614,1749
vhs pokemon,mon,sep,1,19:02:02,0,2013,,ja,55,83
rt akunsindir kalo pacar loe ngambek gara-gara loe kecentilan ya wajar aja tandanya dia cemburu ngerti,mon,sep,1,19:02:02,0,2013,,id,110,122
dominican republic revokes citizenship for haitian children httptcodslbkb0u4h,mon,sep,1,19:02:02,0,2013,chicago,en,29,39
          ,mon,sep,1,19:02:02,0,2013,,ar,7360,7202
                         ,mon,sep,30,19:02:02,0,2013,,ar,347,592
rt jocelyncarbon les profs qui veulent rattraper une heure de cours parce-quils taient absent ltltltlt wsh tes pas la tes pas la  casse…,mon,sep,1,19:02:02,0,2013,paris xi - sqt ,fr,164,49
srabieber01 es tu culpa xd,mon,sep,1,19:02:02,0,2013,  espaa ,es,1707,1659
rt elgatoromantico 15 maneras de quemar caloras rpido y fcil httptcod3mbouyjlx - sp,mon,sep,1,19:02:02,0,2013,bolivar-venezuela,es,103,120
charleyygirl davidjamesm not good x,mon,sep,30,19:02:02,0,2013,t 51524059-0084006,en,136,189
ohlala ya trop de  putain  dans mes tweets faut que je me calme l ,mon,sep,1,19:02:02,0,2013,,fr,362,221
rt chunyoon0530 130608~130609 gg world tour in seoul update   2        httptcomwqzv4pjwu http…,mon,sep,1,19:02:02,0,2013,midgard,en,81,167
         ,mon,sep,1,19:02:02,0,2013,,en,638,290
el otro dia voy a buscar a agustin y sale franco tenian que ver mi cara de orgasmo jajajajaajjajaja es muy hermoso,mon,sep,30,19:02:02,0,2013,club atltico river plate ,es,185,301
dance time,mon,sep,1,19:02:02,0,2013,instragram  manolabarras,fr,152,112
que onda el horoscopo,mon,sep,1,19:02:02,0,2013,,es,579,508
yes demskeeblaze can you double date qna,mon,sep,1,19:02:02,0,2013,hov lane with hb,en,1697,760
rt muchedumbre30s lunes 30 de septiembre circula con el telgrafo dvd de muchedumbre nueva edicin subtitulada al ingls y francs,mon,sep,1,19:02:02,0,2013,quito-ecuador,es,63,175
rt cgibb get better with time and time is forever,mon,sep,30,19:02:02,0,2013,,en,487,493
rt gop speakerboehner called out the absent senate saying we are facing a budget emergency httptconpzofwober senatemustact,mon,sep,1,19:02:02,0,2013,nc,en,345,604
12 kcaargentina martinastoessel,mon,sep,1,19:02:02,0,2013,brasil,pt,81,234
avonsdxisy ikr,mon,sep,1,19:02:02,0,2013,,en,2128,924
rt ourtomlinson  rt per un indiretto sullabbinamento icon-intestazione seguimi e ti seguo 5,mon,sep,1,19:02:02,0,2013,28062014,it,1070,1149
